Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
9604-PLR,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Hand Shower System - Finish Product,362.7,406.95
9604-PLR-STN,Bath,Tub Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Hand Shower System - Finish Product,476.45,532.05
9605-PLR,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower/Hand Shower System - Finish Product,558.15,621.95
9605-PLR-STN,Bath,Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Shower/Hand Shower System - Finish Product,700.65,778.7
9606-PLR,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower/Hand Shower System - Finish Product,601.2,669.3
9606-PLR-STN,Bath,Tub Shower Hand Shower Systems|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower/Hand Shower System - Finish Product,748.55,831.4
9600-P,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Shower Valve and Trim - Finish Product,99.05,116.95
9600-PLR,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower Valve and Trim - Finish Product,117.1,136.75
9600-PLR-STN,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Origins® Tub/Shower Valve and Trim - Finish Product,132.65,153.9
S-6612-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Unity® Single Handle Centerset Lavatory Faucet - Finish Product,130,143
S-6612-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Unity® Single Handle Centerset Lavatory Faucet - Finish Product,172.9,200.2
S-6610-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Unity® Single Handle Centerset Lavatory Faucet - Finish Product,125.5,138.05
S-6610-STN-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Transitional,Symmons Unity® Single Handle Centerset Lavatory Faucet - Finish Product,169,185.9
SLC-6610-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Centerset Lavatory Faucet - Finish Product,124,136.4
SLC-6610-STN-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Centerset Lavatory Faucet - Finish Product,166,182.6
SLC-6612-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Centerset Lavatory Faucet - Finish Product,127.5,140.25
SLC-6612-STN-1.5,Bath,Centerset Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Centerset Lavatory Faucet - Finish Product,169.6,196.35
SLW-6612-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Widespread Lavatory Faucet - Finish Product,185,203.5
SLW-6612-STN-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Transitional,Symmons Unity® Two Handle Widespread Lavatory Faucet - Finish Product,246.05,284.9
6601,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower System - Finish Product,198.9,211.2
6601-STN,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower System - Finish Product,226.3,241.3
S-6601,Bath,Shower Systems|Shower and Tub Shower,Transitional,Symmons Unity® Shower System - Finish Product,239.9,256.3
