Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-6060-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$517.15 ,$637.70 
S-6060-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$517.15 ,$586.70 
S-6060-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$517.15 ,$586.70 
S-6080,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$685.00 ,$705.65 
S-6080,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$685.00 ,$705.65 
S-6080-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$795.70 ,$800.85 
S-6080-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$795.70 ,$800.85 
S-6080-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$821.95 ,$828.85 
S-6080-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$821.95 ,$828.85 
S-6080-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$685.00 ,$731.35 
S-6080-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$685.00 ,$731.35 
S-6080-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$711.25 ,$759.35 
S-6080-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$711.25 ,$759.35 
S-6080-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$711.25 ,$733.65 
S-6080-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$711.25 ,$733.65 
S-6095,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$681.40 ,$779.55 
S-6095,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$681.40 ,$779.55 
S-6095-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$792.10 ,$873.95 
S-6095-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$792.10 ,$873.95 
S-6095-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$818.35 ,$901.95 
S-6095-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$818.35 ,$901.95 
S-6095-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$681.40 ,$804.45 
S-6095-ACM-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$681.40 ,$804.45 
S-6095-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$707.65 ,$832.45 
S-6095-ACM-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$707.65 ,$832.45 
S-6095-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$707.65 ,$807.55 
S-6095-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$707.65 ,$807.55 
S-6098,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet,$703.05 ,$804.35 
S-6098,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ Battery Powered Sensor Faucet + - Finish Product,$703.05 ,$804.35 
S-6098-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$813.75 ,$898.70 
S-6098-AC-12V,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet + - Finish Product,$813.75 ,$898.70 
S-6098-AC-12V-G,Bath,Sensor Faucets,,Symmons Ultra-Senseå¨ AC Powered Sensor Faucet,$840.00 ,$926.70 
